番號,上班地點,上班時間,下班時間,下班地點,工時,備註
U75518,SHT,04:05 ,12:05 ,HUH,7:30,SB
U75519,SHS,04:55 ,12:10 ,HUH,6:45,LMCP2 Run23
U75520,HUH,18:52 ,01:22 ,HUH,6:00,LMCP1 STOP
U75521,HUH,15:14 ,22:29 ,HUH,6:45,EMU
U75522,HUH,13:43 ,20:13 ,HUH,6:00,LG1S STOP
U75523,HUH,07:32 ,14:17 ,HUH,6:15,EMU
U75524,SHS,04:55 ,11:25 ,HUH,6:00,LOWP3 Run21
U75525,SHT,04:05 ,11:20 ,HUH,6:45,FOTP1 Run10
U75526,HUH,19:02 ,01:32 ,HUH,6:00,LOWP3 STOP
U75527,HUH,16:00 ,00:30 ,HUH,8:00,SB
U75528,HUH,06:58 ,14:28 ,HUH,7:00,EMU
U75529,SHT,04:05 ,11:50 ,HUH,7:15,RACP1 Run12
U75530,HUH,18:02 ,00:32 ,HUH,6:00,EMU
U75531,HUH,18:16 ,00:46 ,HUH,6:00,EMU
U75532,HUH,16:10 ,00:55 ,HUH,8:15,SHS OFF
U75533,,GH,,,,
U75534,LOW,07:00 ,13:30 ,HUH,6:00,LWM BY
U75535,SHT,04:05 ,10:35 ,HTD,6:00,SHTP1 Run6
U75536,HUH,15:28 ,21:58 ,HTD,6:00,EMU
U75537,HUH,16:38 ,01:23 ,HUH,8:15,LMCP2 STOP
U75538,HUH,16:03 ,22:33 ,HUH,6:00,EMU
U75539,HUH,06:30 ,13:45 ,HUH,6:45,EMU
U75540,HTD,05:24 ,11:54 ,HUH,6:00,T26
U75541,HUH,18:09 ,01:39 ,HUH,7:00,FOTP4  STOP
U75542,HUH,15:35 ,00:20 ,HUH,8:15,TAPP1  STOP
U75543,HUH,13:00 ,21:00 ,HUH,7:30,SB
U75544,SHS,04:55 ,11:25 ,HUH,6:00,SHSP2 Run14
U75545,SHT,04:05 ,10:35 ,HUH,6:00,TAPP1 Run13
U75546,HUH,16:02 ,22:32 ,LOW,6:00,LG1N STOP + LWM BY
U75547,HUH,15:56 ,00:41 ,HTD,8:15,EMU
U75548,HUH,15:00 ,23:30 ,HUH,8:00,LMC OFF
U75549,SHS,04:55 ,12:40 ,HUH,7:15,LMCP1 Run22
U75550,SHS,04:55 ,13:10 ,HTD,7:45,LG1S Run16
U75551,HUH,17:35 ,01:35 ,HUH,7:30,LOWP1  STOP
U75552,HTD,16:30 ,00:45 ,HTD,7:45,HB
U75553,HUH,14:18 ,21:48 ,HUH,7:00,EMU
U75554,HUH,08:35 ,15:35 ,HUH,6:30,EMU
U75555,HUH,08:07 ,14:52 ,HUH,6:15,EMU
